Date,nepal_test,nepal_isolation,nepal_quar,nepal_infected,nepal_recovered,nepal_death
3/29/20,57,30,1299,5,1,0
3/30/20,421,79,4177,5,1,0
3/31/20,245,147,5665,5,1,0
4/1/20,224,109,7019,5,1,0
4/2/20,327,131,8166,6,1,0
4/3/20,398,122,8790,6,1,0
4/4/20,552,136,7909,9,1,0
4/5/20,1656,153,8305,9,1,0
4/6/20,128,168,8357,9,1,0
4/7/20,719,129,8097,9,1,0
4/8/20,901,171,7579,9,1,0
4/9/20,1607,215,7542,9,1,0
4/10/20,1475,186,7653,9,1,0
4/11/20,1951,184,7619,9,1,0
4/12/20,1763,174,7068,12,1,0
4/13/20,974,176,5619,14,1,0
4/14/20,1717,192,5558,16,1,0
4/15/20,586,172,4849,16,1,0
4/16/20,586,172,4849,16,1,0
4/17/20,274,174,4527,30,1,0
4/18/20,970,177,5149,31,3,0
4/19/20,734,204,5901,31,4,0
4/20/20,1349,197,7135,31,4,0
4/21/20,371,192,8528,42,5,0
4/22/20,1194,225,10501,45,7,0
4/23/20,918,184,12902,48,9,0
4/24/20,1428,189,14647,49,11,0
4/25/20,355,185,16917,49,12,0
4/26/20,1513,197,19890,52,16,0
4/27/20,1055,191,21730,52,16,0
4/28/20,532,163,22518,54,16,0
4/29/20,1189,231,23916,57,16,0
4/30/20,1437,242,23959,57,16,0
5/1/20,885,223,23620,59,16,0
5/2/20,938,181,24408,59,16,0
5/3/20,1218,192,23760,75,16,0
5/4/20,1105,199,23276,75,16,0
5/5/20,1029,180,22665,82,16,0
5/6/20,1406,196,22311,99,19,0
5/7/20,1318,210,20957,101,19,0
5/8/20,1467,195,20216,102,27,0
5/9/20,1274,186,19833,109,28,0
5/10/20,993,191,19188,110,28,0
5/11/20,650,198,18942,134,30,0
5/12/20,871,213,18777,217,30,0
5/13/20,1386,239,19129,243,32,0
5/14/20,1997,231,19155,249,32,1
5/15/20,1364,233,19372,267,32,1
5/16/20,1785,246,20218,281,32,1
5/17/20,1222,254,20773,295,32,2
5/18/20,1780,262,21544,375,32,2
5/19/20,2548,272,22470,400,33,2
5/20/20,1553,269,23486,424,33,2
5/21/20,2266,278,24847,454,33,3
5/22/20,2822,303,28995,509,67,3
5/23/20,3290,305,31705,584,67,3
5/24/20,2812,296,34516,603,84,3
5/25/20,3059,307,40064,682,109,4
5/26/20,3064,357,46728,772,151,4
5/27/20,3095,379,54329,886,179,4
5/28/20,3045,429,59191,1042,183,5
5/29/20,3023,479,64474,1212,183,6
5/30/20,3586,1790,69174,1401,187,6
5/31/20,3573,534,80703,1567,188,8
6/1/20,3829,600,88443,1811,189,8
6/2/20,4962,714,99877,2099,189,8
6/3/20,4615,796,107931,2300,237,11
6/4/20,5897,885,109390,2634,246,12
6/5/20,6544,925,111383,2912,263,12
6/6/20,6514,965,112162,3235,263,13
6/7/20,7539,1103,113964,3448,263,13
6/8/20,7034,1219,115642,3762,288,14
6/9/20,8047,1216,116134,4085,288,15
6/10/20,8001,1326,113855,4364,288,15
6/11/20,7758,1531,111192,4614,360,15
6/12/20,8879,1636,109524,5062,391,16
6/13/20,8501,1800,105970,5335,391,18
6/14/20,8725,1911,101782,5760,391,19
6/15/20,9439,2147,103734,6211,391,19
6/16/20,8954,2322,101102,6591,1158,19
6/17/20,10272,2348,97055,7177,1167,22
6/18/20,14864,2475,93144,7848,1179,22
6/19/20,21484,3247,92500,8274,1402,22
6/20/20,17159,3254,91179,8605,1402,22
6/21/20,19401,3171,90270,9026,1595,23
6/22/20,21025,3885,90248,9561,2148,23
6/23/20,18660,3887,86495,10099,2224,24
6/24/20,20178,4016,85286,10728,2338,24
6/25/20,19011,4269,82507,11162,2650,26
6/26/20,28637,4624,83634,11755,2698,27
6/27/20,27791,4825,76406,12309,2834,28
6/28/20,29320,4849,74583,12772,3013,28
6/29/20,28066,4772,72717,13248,3134,29
6/30/20,31147,4793,70006,13564,3194,29
7/1/20,30913,4548,68616,14046,4656,30
7/2/20,30777,4663,67680,14519,5320,31
7/3/20,25495,4791,62361,15259,6143,32
7/4/20,24214,4811,61924,15491,6415,34
7/5/20,26937,4729,60774,15784,6547,34
7/6/20,26070,4587,52965,15964,6811,35
7/7/20,26858,4507,52077,16168,7499,35
7/8/20,26297,4450,51624,16423,7752,35
7/9/20,34202,4192,51286,16531,7891,35
7/10/20,33979,4122,51282,16649,8011,35
7/11/20,32956,3969,50900,16719,8442,38
7/12/20,31013,3968,50386,16801,8589,38
7/13/20,31729,3945,50500,16945,10294,38
7/14/20,31904,3995,50226,17061,10328,38
7/15/20,31887,3963,50092,17177,11025,39
7/16/20,32052,3971,49763,17344,11249,39
7/17/20,34570,3968,49265,17445,11534,40
7/18/20,34852,3953,49445,17502,11637,40
7/19/20,35780,3970,49343,17658,11695,40
7/20/20,35706,3983,49762,17844,11868,40
7/21/20,35641,3943,49655,17994,12477,40
7/22/20,35272,3914,49510,18094,12684,42
7/23/20,35399,3908,49482,18241,12960,43
7/24/20,35944,3902,49224,18374,13047,44
7/25/20,35163,3908,49134,18483,13333,46
7/26/20,35062,3845,49033,18613,13378,48
7/27/20,34801,3805,47994,18752,13754,49
7/28/20,34723,3786,47822,19063,13875,49
7/29/20,34701,3840,48204,19273,14021,49
7/30/20,32219,3799,47810,19547,14257,52
7/31/20,32155,3808,47840,19771,14399,56
8/1/20,32217,3805,47840,20086,14492,56
8/2/20,32265,3789,47730,20332,14603,57
8/3/20,32270,3721,47692,20750,14961,57
8/4/20,32455,3713,47634,21009,15026,58
8/5/20,32602,3727,47627,21390,15156,60
8/6/20,32435,3793,46981,21750,15389,65
8/7/20,32414,3800,47219,22214,15814,70
8/8/20,32384,3787,47274,22592,16313,73
8/9/20,32872,3792,47592,22972,16353,75
8/10/20,32609,3784,48293,23310,16493,79
8/11/20,32492,3794,48431,23948,16664,83
8/12/20,32613,3857,48541,24432,16728,91
8/13/20,32766,3813,48521,24957,16837,95
8/14/20,33025,3855,48508,25551,17077,99
8/15/20,33278,3880,48471,26019,17201,102
8/16/20,32587,3895,48371,26660,17335,104
8/17/20,32817,3921,48432,27241,17495,107
8/18/20,33047,3981,48339,28257,17580,114
8/19/20,33612,4007,48077,28938,17700,120
8/20/20,33306,4035,48060,29645,17964,126
8/21/20,33295,4036,47949,30483,18214,137
8/22/20,32856,4142,47749,31117,18350,146
8/23/20,33182,4116,46965,31935,18631,149
8/24/20,32827,4126,46760,32678,18806,157
8/25/20,32755,4123,46718,33533,19119,164
8/26/20,32871,4114,46614,34418,19504,175
8/27/20,32932,4125,47319,35529,20073,183
8/28/20,32971,4122,47267,36456,20242,195
8/29/20,33400,4140,47215,37340,20555,207
8/30/20,40223,4170,47154,38561,20822,221
8/31/20,33244,4153,46381,39460,21410,228
9/1/20,33212,4167,46413,40529,22178,239
9/2/20,32918,4280,47117,41649,23290,250
9/3/20,33394,4280,47122,42877,24207,257
9/4/20,33367,4306,47155,44236,25561,271
9/5/20,33460,4327,47184,45277,27127,280
9/6/20,33459,4340,47186,46257,28941,289
9/7/20,33297,4400,47259,47236,30677,300
9/8/20,33005,4480,47305,48138,32964,306
9/9/20,2419,6591,6520,49219,33882,311
9/10/20,11679,6670,7847,50465,35700,317
9/11/20,2670,6723,8413,51919,36672,322
9/12/20,2361,6867,8462,53120,37524,336
9/13/20,2710,6942,8455,54159,38697,345
9/14/20,2722,6999,8475,55329,39576,360
9/15/20,2215,7947,8962,56788,40638,367
9/16/20,2217,7165,9756,58327,41706,379
9/17/20,2816,8250,9540,59573,42949,383
9/18/20,2855,7763,10287,61593,43820,390
9/19/20,2586,7821,10144,62797,45267,401
9/20/20,3270,7816,10050,64122,46233,411
9/21/20,2411,7816,10040,65276,47238,427
9/22/20,2404,7924,9174,66632,48061,429
9/23/20,2717,7957,9184,67804,49954,436
9/24/20,2638,7966,9164,69301,50411,452
9/25/20,2690,7972,9069,70614,51866,458
9/26/20,2690,7934,9050,71821,53013,466
9/27/20,2612,7986,9073,73394,53898,476